,bookId,Genre,NumberOfPeople
710,447,drama,18
711,447,classics,32
712,447,adult,13
713,447,literature,78
714,447,young-adult,9
715,453,fiction,234
717,453,classics,4
718,453,contemporary,41
719,453,drama,5
720,453,philosophy,4
721,453,novel,64
722,453,literature,63
723,453,mystery,4
724,456,literature,87
725,456,philosophy,4
726,456,novel,95
727,456,mystery,34
728,456,fiction,366
729,456,drama,7
730,456,contemporary,69
732,463,novel,2
733,463,essays,22
734,463,non-fiction,68
735,463,literature,16
736,463,fiction,35
738,463,comedy,2
739,463,biography,24
740,463,short-stories,50
741,463,contemporary,7
742,478,politics,177
743,478,history,110
745,478,classics,7
746,478,culture,53
747,478,non-fiction,705
748,478,philosophy,20
749,478,religion,5
750,478,romance,10
751,478,school,60
752,478,science,41
753,478,sociology,348
754,538,other,0
755,539,science,1
756,539,fiction,28
758,539,comedy,4
759,539,mystery,184
760,539,short-stories,1
761,599,culture,107
762,599,adult,69
763,599,biography,114
764,599,sociology,74
765,599,comedy,522
766,599,contemporary,42
767,599,fiction,80
768,599,history,20
769,599,essays,600
770,599,non-fiction,2017
771,599,philosophy,27
772,599,short-stories,17
774,599,mystery,82
775,599,drama,20
776,619,tragedy,1
777,619,history,77
778,619,fiction,3
780,619,romance,53
781,642,non-fiction,3
782,642,contemporary,1
783,642,classics,2
784,642,biography,1
786,642,philosophy,26
787,642,religion,3
788,642,art,2
789,642,history,1
790,642,fiction,2
791,642,essays,1
792,642,culture,2
793,642,novel,1
794,656,other,0
795,662,other,0
796,663,biography,3
797,663,school,2
799,663,politics,30
800,663,philosophy,261
801,663,contemporary,2
802,663,fiction,14
803,663,non-fiction,119
804,663,literature,4
